variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,7,1,339519,346436.99500000005,339504.00599999994,333022.00599999994,330178.99600000004,324969.00099999993,316403.007,319788.01,304703.002,304442.997,305926.00800000003,305766.99700000003,305033.99700000003,304516.00800000003,304471.998,304614.997,304857.00500000006,305173.998,305743.002,306635.00100000005,307723.00100000005,308971.99900000007,310408.00599999994,312041.002,313746.001,315380.997
migration_category,7,2,324199,329678.004,323929.004,317476.0040000001,313778.993,310006.98799999995,301345.994,304175.99499999994,289138.998,289034.99900000007,290486.996,290311.98600000003,289601.99900000007,289109.003,289063.99700000003,289205.00299999997,289432.005,289734.99700000003,290274,291126.00100000005,292160.99700000003,293347.998,294714.002,296269.997,297893.002,299449.987
migration_category,8,1,341572,343025.0030000001,349184.9969999999,340689.9980000001,333841.00399999996,330988.00200000004,325921.99399999995,317522.00399999996,320965,305885.004,305628.99100000004,307111.99500000005,306953.987,306221.00600000005,305704.001,305660.001,305803,306044.99899999995,306362.9959999999,306931.004,307823.00200000004,308912.00399999996,310160.00200000004,311596.00800000003,313228.001,314934.00100000005
migration_category,8,2,326397,327352.993,332168.999,325031.998,318256.996,314550.001,310901.99899999995,302382.99899999995,305264.999,290231.006,290129.002,291580.995,291406.00399999996,290697.997,290205,290160.9999999999,290300.00000000006,290527.003,290831.99299999996,291371.00100000005,292223.003,293258.001,294444.004,295809.99600000004,297365.999,298988.005
migration_category,9,1,351180,344825.00200000004,345582.99100000004,350298.003,341463.998,334609.0040000001,331885.999,326970.00399999996,318628.0080000001,322071.00200000004,306995.008,306742,308227.004,308069.004,307335.997,306818.996,306776,306920.00099999993,307161.995,307479.007,308046.999,308938.989,310027.0040000001,311274.994,312712.003,314343.99799999996
migration_category,9,2,334323,329363.00099999993,329716.99199999997,333240.99499999994,325809.003,319026.00100000005,315428.99499999994,311907.994,303436.994,306320.99999999994,291289.989,291190.0090000001,292641.99700000003,292468.002,291760.998,291269.004,291223.00399999996,291361.99799999996,291590.999,291895.00399999996,292434.9999999999,293287.00399999996,294321.00600000005,295507.005,296872.99999999994,298429.00600000005
migration_category,10,1,360252,354336.01200000005,347336.997,346723.99600000004,351116.994,342275.99999999994,335541.00800000003,332952.995,328088.0019999999,319749.988,323193.009,308120.01300000004,307871.00399999996,309356.994,309199.002,308465.006,307950.99600000004,307907.999,308051.99999999994,308292.991,308610.003,309177.995,310070.988,311159.003,312405.98699999996,313843.00200000004
migration_category,10,2,343941,337204.99799999996,331692.99900000007,330827.001,334072.00899999996,326633.00800000003,319948,316463.003,312982.001,304515.992,307400.991,292373.996,292275.999,293728,293555.003,292847.989,292356.00299999997,292310.006,292450.00200000004,292678.99,292983,293525.00299999997,294375.99700000003,295409.003,296595.005,297961.002
migration_category,11,1,361384,363329.99900000007,356818.006,348509.999,347601.0020000001,351984.005,343248.00099999993,336635.994,334092.00299999997,329230.999,320897.00399999996,324341.00800000003,309270.9930000001,309024.99400000006,310513.003,310354.00100000005,309621.007,309106.995,309065.009,309208.00899999996,309449.9940000001,309765.99100000004,310335.00800000003,311226.998,312314.001,313562.00000000006
migration_category,11,2,343683,346655.00299999997,339409.997,332758.00000000006,331635.99399999995,334872.003,327520.999,320935.00200000004,317489.00299999997,314011.00399999996,305548.00099999993,308435.999,293412.00100000005,293315.99199999997,294769.99700000003,294596.002,293889.99799999996,293398.005,293352.004,293494.00499999995,293721.99999999994,294026.99799999996,294567.99799999996,295418.00100000005,296451.008,297635.99100000004
